L,pproj,pctrl_index,pctrl_value,tmi_mean,tmi_sem
16,pproj0.000,12,0.4661578947368421,-0.940730725095935,0.03388108171275285
16,pproj0.000,13,0.47142105263157896,-0.8606055589395339,0.03357893235474786
16,pproj0.000,14,0.4766842105263158,-0.7466362192813296,0.03204965973242819
16,pproj0.000,15,0.4819473684210526,-0.6914719762881046,0.032073221007879515
16,pproj0.000,16,0.4872105263157895,-0.5856089894176537,0.03067562697032689
16,pproj0.000,17,0.49247368421052634,-0.48284872514290084,0.02887417989165114
16,pproj0.000,18,0.49773684210526314,-0.4121835983212506,0.027043697310661505
16,pproj0.000,19,0.503,-0.34073662300740637,0.025561311722741783
20,pproj0.000,0,0.403,-2.8576951600784883,0.04322415684146702
20,pproj0.000,1,0.4082631578947369,-2.8359481896149923,0.04307830438308926
20,pproj0.000,2,0.4135263157894737,-2.731071314151234,0.04512336288038449
20,pproj0.000,3,0.41878947368421054,-2.5549159463601154,0.04471229387536111
20,pproj0.000,4,0.4240526315789474,-2.330658757409844,0.04471122750235712
20,pproj0.000,5,0.4293157894736842,-2.3282206543683204,0.04469649667659149
20,pproj0.000,6,0.43457894736842106,-2.0327743066137938,0.044282455991441864
20,pproj0.000,7,0.4398421052631579,-1.9901726362930083,0.044535906999763744
20,pproj0.000,8,0.4451052631578948,-1.872291838314265,0.04412480904990807
20,pproj0.000,9,0.4503684210526316,-1.709822208240902,0.04376210068766404
20,pproj0.000,10,0.45563157894736844,-1.5195537518677213,0.04297318578987109
20,pproj0.000,11,0.46089473684210525,-1.3352913728042075,0.04204430415767773
20,pproj0.000,12,0.4661578947368421,-1.2415440901692625,0.04156117358630519
20,pproj0.000,13,0.47142105263157896,-1.0346786446739127,0.03953049789345873
20,pproj0.000,14,0.4766842105263158,-0.8488099662947118,0.03838143863412728
20,pproj0.000,15,0.4819473684210526,-0.7398184091403363,0.037210892755517255
20,pproj0.000,16,0.4872105263157895,-0.5702337085272327,0.03458304481498886
20,pproj0.000,17,0.49247368421052634,-0.4171624182348032,0.031169704616361447
20,pproj0.000,18,0.49773684210526314,-0.39865400265768575,0.030813963989029247
20,pproj0.000,19,0.503,-0.337973893809624,0.028678102586007115
