L,p_proj,p_ctrl_index,tmi_mean,tmi_sem
8,pproj0.679,17,0.01299966998757655,0.005668091575960598
8,pproj0.679,18,0.01611709193762628,0.004889062437678078
8,pproj0.679,19,0.016959054255188705,0.004079386010488296
8,pproj0.679,20,0.010686493545406893,0.0030403026113622993
8,pproj0.714,0,-0.0013862943611198959,0.0006926268648249963
8,pproj0.714,1,-0.0023940043205309485,0.0017202033846792169
8,pproj0.714,2,-0.0023965475235382884,0.0025358657873567007
8,pproj0.714,3,-0.006459617408491652,0.0032043189662735085
8,pproj0.714,4,-0.009479989284247533,0.0037526684572670465
8,pproj0.714,5,-0.01069664459263004,0.004085154067667915
8,pproj0.714,6,-0.023189635215353797,0.00523033250114185
8,pproj0.714,7,-0.018135847439040818,0.005281180262924302
8,pproj0.714,8,-0.027954391085795834,0.005873018207633903
8,pproj0.714,9,-0.034078333004964295,0.006198453821213867
8,pproj0.714,10,-0.03224115454712199,0.006326034170510775
8,pproj0.714,11,-0.029364953917711052,0.006764093424183616
8,pproj0.714,12,-0.027845581030462023,0.0066463656455880695
8,pproj0.714,13,-0.005106883229399198,0.006113710373488702
8,pproj0.714,14,-0.007069893820388074,0.006434479742044059
8,pproj0.714,15,0.0005295427906981405,0.006564256717955707
8,pproj0.714,16,0.018377800673921193,0.00545207032061595
8,pproj0.714,17,0.013520303368925872,0.004702865791712487
8,pproj0.714,18,0.020030114696651176,0.004363521766953949
8,pproj0.714,19,0.014670862310089251,0.0036510626043672985
8,pproj0.714,20,0.015984124570048944,0.002743306369432587
8,pproj0.750,0,-0.00034657359027997516,0.0003465735902799726
8,pproj0.750,1,0.0024231094013177027,0.0015410722414700647
8,pproj0.750,2,0.0006662664741606066,0.001902462006501663
8,pproj0.750,3,-0.00014345801868094555,0.0024925883563352152
8,pproj0.750,4,-0.008873432057120436,0.0030555397402201776
8,pproj0.750,5,-0.0034794524614227954,0.003968193718627479
8,pproj0.750,6,-0.0056809318358905046,0.004113412663611983
8,pproj0.750,7,0.0017393259143651508,0.004655993308120152
8,pproj0.750,8,-0.016241270801489592,0.0053889222258916274
8,pproj0.750,9,-0.0014992120941480008,0.005001915914341598
8,pproj0.750,10,-0.004144811425864393,0.005042790200917731
8,pproj0.750,11,-0.009183019179311315,0.005864688210197457
8,pproj0.750,12,-0.0016106159449794544,0.005863531410290799
8,pproj0.750,13,-0.00415703203451,0.005854133151021403
8,pproj0.750,14,0.012330560765421208,0.005872040475314143
8,pproj0.750,15,0.02105553857133472,0.005195961201704979
8,pproj0.750,16,0.021333250592691214,0.004735781940578196
8,pproj0.750,17,0.020217714700215078,0.0040820505275115755
8,pproj0.750,18,0.012483680282167942,0.0035921279538471238
8,pproj0.750,19,0.013148065460571434,0.003147627189561784
8,pproj0.750,20,0.009732631203521013,0.002106214501544085
8,pproj0.786,0,-1.3322676295501879e-18,3.586074781793481e-19
8,pproj0.786,1,0.0017717109996026798,0.0011589873319313424
8,pproj0.786,2,0.005068589807317121,0.0016455825756763257
8,pproj0.786,3,0.002768775838575261,0.0026075592806270513
8,pproj0.786,4,0.004187101318736414,0.002567000093407067
8,pproj0.786,5,0.00431278472506659,0.0034014886427479137
8,pproj0.786,6,0.0070801670402346915,0.0037317286018024734
8,pproj0.786,7,0.0007755021778049292,0.0039098521436199815
8,pproj0.786,8,0.010337351209875877,0.004074955702517608
8,pproj0.786,9,0.015732055884859614,0.004175346389927844
